Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
60601-1-10 Edition 1.1 2013-11,Medical electrical equipment - Part 1-10: General requirements for basic safety and essential performance - Collateral Standard: Requirements for the development of physiologic closed-loop controllers,General II (ES/EMC),07/09/2014,IEC," "19-9
60601-1-11 Edition 2.1 2020-07 CONSOLIDATED VERSION,Medical electrical equipment - Part 1-11: General requirements for basic safety and essential performance - Collateral Standard: Requirements for medical electrical equipment and medical electrical systems used in the home healthcare environment ,General II (ES/EMC),12/21/2020,IEC," "19-38
60601-1-11 Edition 2.0 2015-01,Medical electrical equipment - Part 1-11: General requirements for basic safety and essential performance - Collateral Standard: Requirements for medical electrical equipment and medical electrical systems used in the home healthcare environment ,General II (ES/EMC),06/27/2016,IEC," "19-14
60601-1-12 Edition 1.1 2020-07 CONSOLIDATED VERSION,Medical electrical equipment - Part 1-12: General requirements for basic safety and essential performance - Collateral Standard: Requirements for medical electrical equipment and medical electrical systems intended for use in the emergency medical services environment,General II (ES/EMC),12/21/2020,IEC," "19-39
60601-1-12 Edition 1.0 2014-06,Medical electrical equipment - Part 1-12: General requirements for basic safety and essential performance - Collateral Standard: Requirements for medical electrical equipment and medical electrical systems intended for use in the emergency medical services environment,General II (ES/EMC),06/27/2016,IEC," "19-15
60601-1-2 Edition 4.1 2020-09 CONSOLIDATED VERSION,Medical electrical equipment - Part 1-2: General requirements for basic safety and essential performance - Collateral Standard: Electromagnetic disturbances - Requirements and tests,General II (ES/EMC),12/21/2020,IEC," "19-36
60601-1-2 Edition 4.0 2014-02,Medical electrical equipment - Part 1-2: General requirements for basic safety and essential performance - Collateral Standard: Electromagnetic disturbances - Requirements and tests,General II (ES/EMC),09/17/2018,IEC," "19-8
POCT14 2nd Edition,Point-of-Care Coagulation Testing and Anticoagulation Monitoring,InVitro Diagnostics,12/21/2020,CLSI," "7-299
MM13 2nd Edition,Collection Transport Preparation and Storage of Specimens for Molecular Methods,InVitro Diagnostics,12/21/2020,CLSI," "7-300
GP42 7th Edition,Collection of Capillary Blood Specimens,InVitro Diagnostics,12/21/2020,CLSI," "7-301
C34 4th Edition,Sweat Testing: Specimen Collection and Quantitative Chloride Analysis,InVitro Diagnostics,12/21/2020,CLSI," "7-302
M60 2nd Edition,Performance Standards for Antifungal Susceptibility Testing of Yeast,InVitro Diagnostics,12/21/2020,CLSI," "7-303
M23 5th Edition,Development of In Vitro Susceptibility Testing Criteria and Quality Control Parameters,InVitro Diagnostics,12/21/2020,CLSI," "7-304
17511 Second edition 2020-04,In vitro diagnostic medical devices - Requirements for establishing metrological traceability of values assigned to calibrators trueness control materials and human samples,InVitro Diagnostics,12/21/2020,ISO," "7-305
80369-7 Second edition 2021,Small-bore connectors for liquids and gases in healthcare applications - Part 7: Connectors for intravascular or hypodermic applications,General I (QS/RM),12/21/2020,ISO," "5-133
594-1 First edition 1986-06-15,Conical fittings with a 6% (Luer) taper for syringes needles and certain other medical equipment - Part 1: General requirements,General Plastic Surgery/General Hospital,07/15/2019,ISO," "6-11
21363 First edition 2020-06,Nanotechnologies - Measurements of particle size and shape distributions by transmission electron microscopy,Nanotechnology,12/21/2020,ISO," "18-17
F813-20,Standard Practice for Direct Contact Cell Culture Evaluation of Materials for Medical Devices,Biocompatibility,12/21/2020,ASTM," "2-277
F813-07 (Reapproved 2012),Standard Practice for Direct Contact Cell Culture Evaluation of Materials for Medical Devices,Biocompatibility,07/26/2016,ASTM," "2-119
594-2 Second edition 1998-09-01,Conical fittings with a 6% (Luer) taper for syringes needles and certain other medical equipment - Part 2: Lock fittings,General Plastic Surgery/General Hospital,07/15/2019,ISO," "6-129
F719-20 e1,Standard Practice for Testing Materials in Rabbits for Primary Skin Irritation,Biocompatibility,12/21/2020,ASTM," "2-278
F719-81 (Reapproved 2012),Standard Practice for Testing Biomaterials in Rabbits for Primary Skin Irritation,Biocompatibility,07/26/2016,ASTM," "2-122
F750-20,Standard Practice for Evaluating Acute Systemic Toxicity of Material Extracts by Systemic Injection in the Mouse,Biocompatibility,12/21/2020,ASTM," "2-279
F750-87 (Reapproved 2012),Standard Practice for Evaluating Material Extracts by Systemic Injection in the Mouse,Biocompatibility,07/26/2016,ASTM," "2-124
/TS 10993-19 Second edition 2020-03,Biological evaluation of medical devices - Part 19: Physico-chemical morphological and topographical characterization of materials,Biocompatibility,12/21/2020,ISO," "2-281
/TS 10993-19 First edition 2006-06-01,Biological evaluation of medical devices - Part 19: Physico-chemical morphological and topographical characterization of materials,Biocompatibility,07/26/2016,ISO," "2-167
F1408-20a,Standard Practice for Subcutaneous Screening Test for Implant Materials,Biocompatibility,12/21/2020,ASTM," "2-280
F1408-97 (Reapproved 2013),Standard Practice for Subcutaneous Screening Test for Implant Materials,Biocompatibility,07/26/2016,ASTM," "2-133
14155 Third edition 2020-07 ,Clinical investigation of medical devices for human subjects - Good clinical practice,Biocompatibility,12/21/2020,ISO," "2-282
14155 Second edition 2011-02-01,Clinical investigation of medical devices for human subjects - Good clinical practice [Including: Technical Corrigendum 1 (2011)],Biocompatibility,01/30/2014,ISO," "2-205
E3247-20,Standard Test Method for Measuring the Size of Nanoparticles in Aqueous Media Using Dynamic Light Scattering,Nanotechnology,12/21/2020,ASTM," "18-18
F619-20,Standard Practice for Extraction of Materials Used in Medical Devices,Biocompatibility,12/21/2020,ASTM," "2-283
F619-14,Standard Practice for Extraction of Medical Plastics,Biocompatibility,07/26/2016,ASTM," "2-214
43-NF38:2020,<87> Biological Reactivity Test In Vitro - Direct Contact Test,Biocompatibility,12/21/2020,USP," "2-284
43-NF38:2020,<87> Biological Reactivity Test In Vitro - Elution Test,Biocompatibility,12/21/2020,USP," "2-285
43-NF38:2020,<88> Biological Reactivity Tests In Vivo,Biocompatibility,12/21/2020,USP," "2-286
43-NF38:2020,<151> Pyrogen Test (USP Rabbit Test),Biocompatibility,12/21/2020,USP," "2-287
10993-15 Second edition 2019-11,Biological evaluation of medical devices - Part 15: Identification and quantification of degradation products from metals and alloys,Biocompatibility,12/21/2020,ISO," "2-288
22442-1 Third edition 2020-09 ,Medical devices utilizing animal tissues and their derivatives - Part 1: Application of risk management,Tissue Engineering,12/21/2020,ISO," "15-64
22442-1 Second edition 2015-11-01,Medical devices utilizing animal tissues and their derivatives - Part 1: Application of risk management,Tissue Engineering,06/27/2016,ISO," "15-45
22442-2 Third edition 2020-09 ,Medical devices utilizing animal tissues and their derivatives - Part 2: Controls on sourcing collection and handling,Tissue Engineering,12/21/2020,ISO," "15-65
22442-2 Second edition 2015-11-01,Medical devices utilizing animal tissues and their derivatives - Part 2: Controls on sourcing collection and handling. ,Tissue Engineering,06/27/2016,ISO," "15-46
F2181-20,Standard Specification for Wrought Seamless Stainless Steel Tubing for Surgical Implants,Materials,12/21/2020,ASTM," "8-550
F2895-20,Standard Practice for Digital Radiography of Cast Metallic Implants,Materials,12/21/2020,ASTM," "8-551
52903-1 First edition 2020-04,Additive manufacturing - Material extrusion-based additive manufacturing of plastic materials - Part 1: Feedstock materials ,Materials,12/21/2020,ASTM ISO," "8-553
F3434-20,Guide for Additive manufacturing - Installation/Operation and Performance Qualification (IQ/OQ/PQ) of Laser-Beam Powder Bed Fusion Equipment for Production Manufacturing New publication,Materials,12/21/2020,ASTM," "8-552
TR 52912 First edition 2020-09,Additive manufacturing - Design - Functionally graded additive manufacturing,Materials,12/21/2020,ASTM ISO," "8-554
F620-20,Standard Specification for Titanium Alloy Forgings for Surgical Implants in the Alpha Plus Beta Condition,Materials,12/21/2020,ASTM," "8-537
F620-11 (Reapproved 2015),Standard Specification Titanium Alloy Forgings for Surgical Implants in the Alpha Plus Beta Condition,Materials,06/27/2016,ASTM," "8-217
F2759-19,Standard Guide for Assessment of the Ultra High Molecular Weight Polyethylene (UHMWPE) Used in Orthopedic and Spinal Devices,Materials,12/21/2020,ASTM," "8-538
F2759-11,Standard Guide for Assessment of the Ultra High Molecular Weight Polyethylene (UHMWPE) Used in Orthopedic and Spinal Devices,Materials,08/20/2012,ASTM," "8-223
F139-19,Standard Specification for Wrought 18 Chromium-14 Nickel-2.5 Molybdenum Stainless Steel Sheet and Strip for Surgical Implants (UNS S31673),Materials,12/21/2020,ASTM," "8-539
F139-12,Standard Specification for Wrought 18 Chromium-14 Nickel-2.5 Molybdenum Stainless Steel Sheet and Strip for Surgical Implants (UNS S31673),Materials,08/06/2013,ASTM," "8-338
F1091-20,Standard Specification for Wrought Cobalt-20Chromium-15Tungsten-10Nickel Alloy Surgical Fixation Wire (UNS R30605),Materials,12/21/2020,ASTM," "8-540
F1091-12,Standard Specification for Wrought Cobalt-20 Chromium-15 Tungsten-10 Nickel Alloy Surgical Fixation Wire (UNS R30605),Materials,08/06/2013,ASTM," "8-339
F1537-20,Standard Specification for Wrought Cobalt-28Chromium-6Molybdenum Alloys for Surgical Implants (UNS R31537 UNS R31538 and UNS R31539),Materials,12/21/2020,ASTM," "8-541
F1537-11,Standard Specification for Wrought Cobalt-28-Chromium-6-Molybdenum Alloys for Surgical Implants (UNS R31537 UNS R31538 and UNS R31539),Materials,08/06/2013,ASTM," "8-342
F138-19,Standard Specification for Wrought 18Chromium-14Nickel-2.5Molybdenum Stainless Steel Bar and Wire for Surgical Implants (UNS S31673),Materials,12/21/2020,ASTM," "8-542
F138-13,Standard Specification for Wrought 18 Chromium-14 Nickel-2.5 Molybdenum Stainless Steel Bar and Wire for Surgical Implants (UNS S31673),Materials,01/30/2014,ASTM," "8-348
F755-19,Standard Specification for Selection of Porous Polyethylene for Use in Surgical Implants,Materials,12/21/2020,ASTM," "8-543
F755-99 (Reapproved 2011),Standard Specification for Selection of Porous Polyethylene for Use in Surgical Implants,Materials,01/30/2014,ASTM," "8-361
43-NF38:2020 ,Nonabsorbable Surgical Suture,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-453
43-NF38:2020,Sodium Chloride Irrigation,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-451
43-NF38:2020,Sodium Chloride Injection,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-452
43-NF38:2020,<881> Tensile Strength,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-454
43-NF38:2020,<861> Sutures - Diameter,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-455
43-NF38:2020,<871> Sutures - Needle Attachment,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-456
43-NF38:2020,Sterile Water for Irrigation,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-457
43-NF38:2020,Heparin Lock Flush Solution,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-458
43-NF38:2020,Absorbable Surgical Suture,General Plastic Surgery/General Hospital,12/21/2020,USP," "6-459
F961-20,Standard Specification for 35Cobalt-35Nickel-20Chromium-10Molybdenum Alloy Forgings for Surgical Implants (UNS R30035),Materials,12/21/2020,ASTM," "8-544
F961-14,Standard Specification for 35Cobalt-35 Nickel-20 Chromium-10 Molybdenum Alloy Forgings for Surgical Implants (UNS R30035),Materials,04/04/2016,ASTM," "8-395
F2977-20,Standard Test Method for Small Punch Testing of Polymeric Biomaterials Used in Surgical Implants,Materials,12/21/2020,ASTM," "8-545
F2977-13 ,Standard Test Method for Small Punch Testing of Polymeric Biomaterials Used in Surgical Implants ,Materials,04/04/2016,ASTM," "8-416
F3044-20,Standard Test Method for Evaluating the Potential for Galvanic Corrosion for Medical Implants,Materials,12/21/2020,ASTM," "8-546
F3044-14 ,Test Method for Standard Test Method for Evaluating the Potential for Galvanic Corrosion for Medical Implants ,Materials,04/04/2016,ASTM," "8-417
F629-20,Standard Practice for Radiography of Cast Metallic Surgical Implants,Materials,12/21/2020,ASTM," "8-547
F629-15,Standard Practice for Radiography of Cast Metallic Surgical Implants,Materials,06/27/2016,ASTM," "8-421
52915 Third edition 2020-03,Specification for additive manufacturing file format (AMF) Version 1.2,Materials,12/21/2020,ASTM ISO," "8-548
52915 Second edition 2016-02-15,Specification for Additive Manufacturing File Format (AMF) Version 1.2 ,Materials,12/23/2016,ASTM ISO," "8-438
F3208-20,Standard Guide for Selecting Test Soils for Validation of Cleaning Methods for Reusable Medical Devices,Materials,12/21/2020,ASTM," "8-549
F3208-19,Standard Guide for Selecting Test Soils for Validation of Cleaning Methods for Reusable Medical Devices,Materials,07/06/2020,ASTM," "8-530
26825 Second edition 2020-10 ,Anaesthetic and respiratory equipment  - User-applied labels for syringes containing drugs used during anaesthesia - Colours design and performance,Anesthesiology,12/21/2020,ISO," "1-147
26825 First edition 2008-08-15,Anaesthetic and respiratory equipment - User-applied labels for syringes containing drugs used during anaesthesia - Colours design and performance,Anesthesiology,03/16/2012,ISO," "1-79
